run,type,module,name,attrname,attrvalue,vectime,vecvalue
N20-15-20260518-02:26:36-159846,runattr,,,configname,N20,,
N20-15-20260518-02:26:36-159846,runattr,,,datetime,20260518-02:26:36,,
N20-15-20260518-02:26:36-159846,runattr,,,datetimef,20260518-022636,,
N20-15-20260518-02:26:36-159846,runattr,,,experiment,N20,,
N20-15-20260518-02:26:36-159846,runattr,,,inifile,omnetpp.ini,,
N20-15-20260518-02:26:36-159846,runattr,,,iterationvars,"$0=""avg""",,
N20-15-20260518-02:26:36-159846,runattr,,,iterationvarsd,avg,,
N20-15-20260518-02:26:36-159846,runattr,,,iterationvarsf,avg-,,
N20-15-20260518-02:26:36-159846,runattr,,,measurement,"$0=""avg""",,
N20-15-20260518-02:26:36-159846,runattr,,,network,test2.LoRaNetworkTest,,
N20-15-20260518-02:26:36-159846,runattr,,,processid,159846,,
N20-15-20260518-02:26:36-159846,runattr,,,repetition,15,,
N20-15-20260518-02:26:36-159846,runattr,,,replication,#15,,
N20-15-20260518-02:26:36-159846,runattr,,,resultdir,results,,
N20-15-20260518-02:26:36-159846,runattr,,,runnumber,15,,
N20-15-20260518-02:26:36-159846,runattr,,,seedset,15,,
N20-15-20260518-02:26:36-159846,config,,,extends,General,,
N20-15-20260518-02:26:36-159846,config,,,**.numPatients,20,,
N20-15-20260518-02:26:36-159846,config,,,network,test2.LoRaNetworkTest,,
N20-15-20260518-02:26:36-159846,config,,,sim-time-limit,1h,,
N20-15-20260518-02:26:36-159846,config,,,warmup-period,60s,,
N20-15-20260518-02:26:36-159846,config,,,simtime-resolution,-11,,
N20-15-20260518-02:26:36-159846,config,,,repeat,30,,
N20-15-20260518-02:26:36-159846,config,,,rng-class,cMersenneTwister,,
N20-15-20260518-02:26:36-159846,config,,,record-eventlog,false,,
N20-15-20260518-02:26:36-159846,config,,,**.numPatients,20,,
N20-15-20260518-02:26:36-159846,config,,,**.HospitalServer.app[0].queueLength:vector.vector-recording,true,,
N20-15-20260518-02:26:36-159846,config,,,**.HospitalServer.app[0].urgentWaitTime:vector.vector-recording,true,,
N20-15-20260518-02:26:36-159846,config,,,**.HospitalServer.app[0].normalWaitTime:vector.vector-recording,true,,
N20-15-20260518-02:26:36-159846,config,,,**.HospitalServer.app[0].urgentEndToEndDelay:vector.vector-recording,true,,
N20-15-20260518-02:26:36-159846,config,,,**.HospitalServer.app[0].normalEndToEndDelay:vector.vector-recording,true,,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[*].app[0].emergencyVariate:vector.vector-recording,true,,
N20-15-20260518-02:26:36-159846,config,,,**.vector-recording,false,,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[0].**.initialX,"300m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[0].**.initialY,"250m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[1].**.initialX,"450m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[1].**.initialY,"250m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[2].**.initialX,"600m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[2].**.initialY,"250m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[3].**.initialX,"750m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[3].**.initialY,"250m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[4].**.initialX,"900m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[4].**.initialY,"250m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[5].**.initialX,"1050m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[5].**.initialY,"250m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[6].**.initialX,"1200m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[6].**.initialY,"250m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[7].**.initialX,"1350m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[7].**.initialY,"250m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[8].**.initialX,"1500m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[8].**.initialY,"250m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[9].**.initialX,"1650m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[9].**.initialY,"250m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[10].**.initialX,"300m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[10].**.initialY,"370m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[11].**.initialX,"450m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[11].**.initialY,"370m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[12].**.initialX,"600m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[12].**.initialY,"370m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[13].**.initialX,"750m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[13].**.initialY,"370m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[14].**.initialX,"900m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[14].**.initialY,"370m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[15].**.initialX,"1050m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[15].**.initialY,"370m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[16].**.initialX,"1200m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[16].**.initialY,"370m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[17].**.initialX,"1350m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[17].**.initialY,"370m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[18].**.initialX,"1500m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[18].**.initialY,"370m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[19].**.initialX,"1650m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[19].**.initialY,"370m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[20].**.initialX,"300m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[20].**.initialY,"490m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[21].**.initialX,"450m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[21].**.initialY,"490m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[22].**.initialX,"600m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[22].**.initialY,"490m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[23].**.initialX,"750m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[23].**.initialY,"490m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[24].**.initialX,"900m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[24].**.initialY,"490m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[25].**.initialX,"1050m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[25].**.initialY,"490m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[26].**.initialX,"1200m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[26].**.initialY,"490m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[27].**.initialX,"1350m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[27].**.initialY,"490m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[28].**.initialX,"1500m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[28].**.initialY,"490m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[29].**.initialX,"1650m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[29].**.initialY,"490m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[30].**.initialX,"300m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[30].**.initialY,"610m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[31].**.initialX,"450m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[31].**.initialY,"610m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[32].**.initialX,"600m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[32].**.initialY,"610m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[33].**.initialX,"750m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[33].**.initialY,"610m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[34].**.initialX,"900m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[34].**.initialY,"610m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[35].**.initialX,"1050m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[35].**.initialY,"610m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[36].**.initialX,"1200m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[36].**.initialY,"610m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[37].**.initialX,"1350m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[37].**.initialY,"610m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[38].**.initialX,"1500m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[38].**.initialY,"610m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[39].**.initialX,"1650m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[39].**.initialY,"610m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[40].**.initialX,"300m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[40].**.initialY,"730m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[41].**.initialX,"450m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[41].**.initialY,"730m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[42].**.initialX,"600m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[42].**.initialY,"730m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[43].**.initialX,"750m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[43].**.initialY,"730m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[44].**.initialX,"900m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[44].**.initialY,"730m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[45].**.initialX,"1050m + uniform(-10m, 10m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[45].**.initialY,"730m + uniform(-8m, 8m)",,
N20-15-20260518-02:26:36-159846,config,,,**.loRaNodes[46].**.initialX,"1200m + uniform(-10m, 10m)",,
